action,cliente_id,numero_contrato,servico_contratado_id
created_contract,3581,3974,3974
created_contract,3582,3975,3975
created_contract,3583,3976,3976
created_contract,3584,3977,3977
created_contract,3585,3978,3978
created_contract,3586,3979,3979
created_contract,3587,3980,3980
created_contract,3588,3981,3981
created_contract,3589,3982,3982
created_contract,3590,3983,3983
created_contract,3591,3984,3984
created_contract,3592,3985,3985
created_contract,3593,3986,3986
created_contract,3594,3987,3987
created_contract,3595,3988,3988
created_contract,3596,3989,3989
created_contract,3597,3990,3990
created_contract,3598,3991,3991
created_contract,3599,3992,3992
created_contract,3600,3993,3993
created_contract,3601,3994,3994
created_contract,3602,3995,3995
created_contract,3603,3996,3996
created_contract,3604,3997,3997
created_contract,3605,3998,3998
created_contract,3606,3999,3999
created_contract,3607,4000,4000
created_contract,3608,4001,4001
created_contract,3609,4002,4002
created_contract,3610,4003,4003
created_contract,3611,4004,4004
created_contract,3612,4005,4005
created_contract,3613,4006,4006
created_contract,3614,4007,4007
created_contract,3615,4008,4008
created_contract,3616,4009,4009
created_contract,3617,4010,4010
created_contract,3618,4011,4011
created_contract,3619,4012,4012
created_contract,3620,4013,4013
created_contract,3621,4014,4014
created_contract,3622,4015,4015
created_contract,3623,4016,4016
created_contract,3624,4017,4017
created_contract,3625,4018,4018
created_contract,3626,4019,4019
created_contract,3627,4020,4020
created_contract,3628,4021,4021
created_contract,3629,4022,4022
created_contract,3630,4023,4023
created_contract,3631,4024,4024
created_contract,3632,4025,4025
created_contract,3633,4026,4026
created_contract,3634,4027,4027
created_contract,3635,4028,4028
created_contract,3636,4029,4029
created_contract,3637,4030,4030
created_contract,3638,4031,4031
created_contract,3639,4032,4032
created_contract,3640,4033,4033
created_contract,3641,4034,4034
created_contract,3642,4035,4035
created_contract,3643,4036,4036
created_contract,3644,4037,4037
created_contract,3645,4038,4038
created_contract,3646,4039,4039
created_contract,3647,4040,4040
created_contract,3648,4041,4041
created_contract,3649,4042,4042
created_contract,3650,4043,4043
created_contract,3651,4044,4044
created_contract,3652,4045,4045
created_contract,3653,4046,4046
created_contract,3654,4047,4047
created_contract,3655,4048,4048
created_contract,3656,4049,4049
created_contract,3657,4050,4050
created_contract,3658,4051,4051
created_contract,3659,4052,4052
created_contract,3660,4053,4053
created_contract,3661,4054,4054
created_contract,3662,4055,4055
created_contract,3663,4056,4056
skipped_existing_contract,3664,,
created_contract,3665,4057,4057
created_contract,3666,4058,4058
created_contract,3667,4059,4059
created_contract,3668,4060,4060
created_contract,3669,4061,4061
created_contract,3670,4062,4062
created_contract,3671,4063,4063
created_contract,3672,4064,4064
created_contract,3673,4065,4065
created_contract,3674,4066,4066
created_contract,3675,4067,4067
created_contract,3676,4068,4068
created_contract,3677,4069,4069
created_contract,3678,4070,4070
created_contract,3679,4071,4071
created_contract,3680,4072,4072
created_contract,3681,4073,4073
created_contract,3682,4074,4074
created_contract,3683,4075,4075
created_contract,3684,4076,4076
created_contract,3685,4077,4077
created_contract,3686,4078,4078
created_contract,3687,4079,4079
created_contract,3688,4080,4080
created_contract,3689,4081,4081
created_contract,3690,4082,4082
created_contract,3691,4083,4083
created_contract,3692,4084,4084
created_contract,3693,4085,4085
created_contract,3694,4086,4086
created_contract,3695,4087,4087
created_contract,3696,4088,4088
created_contract,3697,4089,4089
created_contract,3698,4090,4090
created_contract,3699,4091,4091
created_contract,3700,4092,4092
created_contract,3701,4093,4093
created_contract,3702,4094,4094
created_contract,3703,4095,4095
created_contract,3704,4096,4096
created_contract,3705,4097,4097
created_contract,3706,4098,4098
created_contract,3707,4099,4099
created_contract,3708,4100,4100
created_contract,3709,4101,4101
created_contract,3710,4102,4102
created_contract,3711,4103,4103
created_contract,3712,4104,4104
created_contract,3713,4105,4105
created_contract,3714,4106,4106
created_contract,3715,4107,4107
created_contract,3716,4108,4108
created_contract,3717,4109,4109
created_contract,3718,4110,4110
created_contract,3719,4111,4111
created_contract,3720,4112,4112
created_contract,3721,4113,4113
created_contract,3722,4114,4114
created_contract,3723,4115,4115
created_contract,3724,4116,4116
created_contract,3725,4117,4117
created_contract,3726,4118,4118
created_contract,3727,4119,4119
created_contract,3728,4120,4120
created_contract,3729,4121,4121
created_contract,3730,4122,4122
created_contract,3731,4123,4123
created_contract,3732,4124,4124
created_contract,3733,4125,4125
created_contract,3734,4126,4126
created_contract,3735,4127,4127
created_contract,3736,4128,4128
created_contract,3737,4129,4129
created_contract,3738,4130,4130
created_contract,3739,4131,4131
created_contract,3740,4132,4132
created_contract,3741,4133,4133
created_contract,3742,4134,4134
created_contract,3743,4135,4135
created_contract,3744,4136,4136
created_contract,3745,4137,4137
created_contract,3746,4138,4138
created_contract,3747,4139,4139
created_contract,3748,4140,4140
created_contract,3749,4141,4141
created_contract,3750,4142,4142
created_contract,3751,4143,4143
created_contract,3752,4144,4144
created_contract,3753,4145,4145
created_contract,3754,4146,4146
created_contract,3755,4147,4147
created_contract,3756,4148,4148
created_contract,3757,4149,4149
created_contract,3758,4150,4150
created_contract,3759,4151,4151
created_contract,3760,4152,4152
created_contract,3761,4153,4153
created_contract,3762,4154,4154
created_contract,3763,4155,4155
created_contract,3764,4156,4156
created_contract,3765,4157,4157
created_contract,3766,4158,4158
created_contract,3767,4159,4159
created_contract,3768,4160,4160
created_contract,3769,4161,4161
created_contract,3770,4162,4162
created_contract,3771,4163,4163
created_contract,3772,4164,4164
created_contract,3773,4165,4165
created_contract,3774,4166,4166
created_contract,3775,4167,4167
created_contract,3776,4168,4168
created_contract,3777,4169,4169
created_contract,3778,4170,4170
created_contract,3779,4171,4171
created_contract,3780,4172,4172
created_contract,3781,4173,4173
created_contract,3782,4174,4174
created_contract,3783,4175,4175
created_contract,3784,4176,4176
created_contract,3785,4177,4177
created_contract,3786,4178,4178
created_contract,3787,4179,4179
created_contract,3788,4180,4180
created_contract,3789,4181,4181
created_contract,3790,4182,4182
created_contract,3791,4183,4183
created_contract,3792,4184,4184
created_contract,3793,4185,4185
created_contract,3794,4186,4186
created_contract,3795,4187,4187
created_contract,3796,4188,4188
created_contract,3797,4189,4189
created_contract,3798,4190,4190
created_contract,3799,4191,4191
created_contract,3800,4192,4192
created_contract,3801,4193,4193
created_contract,3802,4194,4194
created_contract,3803,4195,4195
created_contract,3804,4196,4196
created_contract,3805,4197,4197
created_contract,3806,4198,4198
created_contract,3807,4199,4199
created_contract,3808,4200,4200
created_contract,3809,4201,4201
created_contract,3810,4202,4202
created_contract,3811,4203,4203
created_contract,3812,4204,4204
created_contract,3813,4205,4205
created_contract,3814,4206,4206
created_contract,3815,4207,4207
created_contract,3816,4208,4208
created_contract,3817,4209,4209
created_contract,3818,4210,4210
created_contract,3819,4211,4211
created_contract,3820,4212,4212
created_contract,3821,4213,4213
created_contract,3822,4214,4214
created_contract,3823,4215,4215
created_contract,3824,4216,4216
created_contract,3825,4217,4217
created_contract,3826,4218,4218
created_contract,3827,4219,4219
created_contract,3828,4220,4220
created_contract,3829,4221,4221
created_contract,3830,4222,4222
created_contract,3831,4223,4223
created_contract,3832,4224,4224
created_contract,3833,4225,4225
created_contract,3834,4226,4226
created_contract,3835,4227,4227
created_contract,3836,4228,4228
created_contract,3837,4229,4229
created_contract,3838,4230,4230
created_contract,3839,4231,4231
created_contract,3840,4232,4232
created_contract,3841,4233,4233
created_contract,3842,4234,4234
created_contract,3843,4235,4235
created_contract,3844,4236,4236
created_contract,3845,4237,4237
created_contract,3846,4238,4238
created_contract,3847,4239,4239
created_contract,3848,4240,4240
created_contract,3849,4241,4241
created_contract,3850,4242,4242
created_contract,3851,4243,4243
created_contract,3852,4244,4244
created_contract,3853,4245,4245
created_contract,3854,4246,4246
created_contract,3855,4247,4247
created_contract,3856,4248,4248
created_contract,3857,4249,4249
created_contract,3858,4250,4250
created_contract,3859,4251,4251
created_contract,3860,4252,4252
created_contract,3861,4253,4253
created_contract,3862,4254,4254
created_contract,3863,4255,4255
created_contract,3864,4256,4256
created_contract,3865,4257,4257
created_contract,3866,4258,4258
created_contract,3867,4259,4259
created_contract,3868,4260,4260
created_contract,3869,4261,4261
created_contract,3870,4262,4262
created_contract,3871,4263,4263
created_contract,3872,4264,4264
created_contract,3873,4265,4265
created_contract,3874,4266,4266
created_contract,3875,4267,4267
created_contract,3876,4268,4268
created_contract,3877,4269,4269
created_contract,3878,4270,4270
created_contract,3879,4271,4271
created_contract,3880,4272,4272
created_contract,3881,4273,4273
created_contract,37,4274,4274
created_contract,3882,4275,4275
created_contract,3883,4276,4276
created_contract,3884,4277,4277
created_contract,3885,4278,4278
created_contract,3886,4279,4279
created_contract,3887,4280,4280
created_contract,3888,4281,4281
created_contract,3889,4282,4282
created_contract,3890,4283,4283
created_contract,3891,4284,4284
created_contract,3892,4285,4285
created_contract,3893,4286,4286
created_contract,3894,4287,4287
created_contract,3895,4288,4288
created_contract,3896,4289,4289
created_contract,3897,4290,4290
created_contract,3898,4291,4291
created_contract,3899,4292,4292
created_contract,3900,4293,4293
created_contract,3901,4294,4294
created_contract,3902,4295,4295
created_contract,3903,4296,4296
created_contract,3904,4297,4297
created_contract,3905,4298,4298
created_contract,3906,4299,4299
created_contract,3907,4300,4300
created_contract,3908,4301,4301
created_contract,3909,4302,4302
created_contract,3910,4303,4303
created_contract,3911,4304,4304
created_contract,3912,4305,4305
created_contract,3913,4306,4306
created_contract,3914,4307,4307
created_contract,3915,4308,4308
created_contract,3916,4309,4309
created_contract,3917,4310,4310
created_contract,3918,4311,4311
created_contract,3919,4312,4312
created_contract,3920,4313,4313
created_contract,3921,4314,4314
created_contract,3922,4315,4315
created_contract,3923,4316,4316
created_contract,3924,4317,4317
created_contract,3925,4318,4318
